Date,US-Mexico Border,North Africa,Sub-Saharan Africa,Mediterranean,Horn of Africa
29-Aug-18,2,1,0,52,34
30-Aug-18,1,0,0,0,0
31-Aug-18,1,0,0,0,0
1-Sep-18,1,0,0,130,0
2-Sep-18,1,0,3,0,0
3-Sep-18,1,0,0,66,0
4-Sep-18,1,0,0,0,0
5-Sep-18,0,0,0,11,0
6-Sep-18,0,1,0,0,15
7-Sep-18,0,0,0,0,0
8-Sep-18,0,0,0,0,0
9-Sep-18,0,4,6,0,0
10-Sep-18,1,0,3,6,0
11-Sep-18,3,2,0,1,0
12-Sep-18,1,0,1,0,0
13-Sep-18,1,0,7,4,0
14-Sep-18,1,0,4,0,0
15-Sep-18,1,0,3,1,0
16-Sep-18,1,0,9,1,0
17-Sep-18,0,3,1,4,0
18-Sep-18,0,0,5,1,0
19-Sep-18,6,3,4,1,0
20-Sep-18,4,1,1,1,1
21-Sep-18,2,2,5,1,0
22-Sep-18,0,0,2,1,0
23-Sep-18,0,1,2,2,1
24-Sep-18,0,2,3,0,1
25-Sep-18,4,2,1,2,0
26-Sep-18,2,3,2,0,3
27-Sep-18,1,1,1,0,2
28-Sep-18,0,1,0,1,0
29-Sep-18,1,1,2,0,0
30-Sep-18,2,0,1,7,0
1-Oct-18,1,1,0,35,3
2-Oct-18,1,1,4,0,0
3-Oct-18,1,2,4,0,2
4-Oct-18,0,0,1,0,1
5-Oct-18,0,0,5,0,0
6-Oct-18,1,0,6,0,0
7-Oct-18,0,0,1,6,0
8-Oct-18,0,1,1,34,0
9-Oct-18,3,0,1,0,0
10-Oct-18,2,0,4,2,0
11-Oct-18,1,0,6,4,0
12-Oct-18,0,0,1,26,0
13-Oct-18,4,0,0,0,2
14-Oct-18,1,0,7,1,0
15-Oct-18,0,4,4,2,0
16-Oct-18,2,0,0,0,0
17-Oct-18,2,0,0,0,0
18-Oct-18,1,0,4,0,0
19-Oct-18,0,0,0,0,0
20-Oct-18,1,0,1,1,0
21-Oct-18,1,1,1,2,0
22-Oct-18,1,0,7,3,1
23-Oct-18,1,1,2,0,0
24-Oct-18,0,0,0,0,0
25-Oct-18,1,1,1,2,0
26-Oct-18,0,2,0,14,0
27-Oct-18,0,1,0,56,3
28-Oct-18,0,0,3,0,2
29-Oct-18,1,3,1,1,0
30-Oct-18,0,3,0,0,3
31-Oct-18,0,0,0,0,0
1-Nov-18,0,0,7,0,0
2-Nov-18,2,0,4,0,0
3-Nov-18,2,0,2,0,0
4-Nov-18,0,0,2,0,0
5-Nov-18,1,0,2,54,0
6-Nov-18,1,0,1,0,0
7-Nov-18,0,0,3,0,0
8-Nov-18,0,0,1,5,0
9-Nov-18,1,0,0,0,0
10-Nov-18,0,0,0,4,0
11-Nov-18,0,0,2,0,0
12-Nov-18,0,0,0,10,0
13-Nov-18,1,0,0,0,0
14-Nov-18,1,0,0,0,5
15-Nov-18,0,0,0,10,0
16-Nov-18,2,0,0,0,0
