Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
51320,Sub-Saharan Africa,13-Sep-18,2018,Sep,3,,3,,,,,Shot,"Near Kayes, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.499142000000, -11.459961000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
51321,Sub-Saharan Africa,13-Sep-18,2018,Sep,4,,4,,1,1,,Shot,"Mali, near border with Cote d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4mi),"10.597203000000, -7.463892000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45925,US-Mexico Border,12-Sep-18,2018,Sep,1,,1,1,,1,,Exposure,"Yuha desert near Calexico, Imperial County, California, USA","Imperial County Coroner's Office, US Border Patrol","32.674161055978, -115.739300107930",Central America to US,https://bit.ly/2xhMGyp,Northern America,5
51319,Sub-Saharan Africa,12-Sep-18,2018,Sep,1,,1,,1,,,Sickness and lack of access to medicines,"Mopti, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),"14.495833000000, -4.198611000000",,http://www.mixedmigration.org/4mi/,Western Africa,2
45914,Mediterranean,11-Sep-18,2018,Sep,1,,1,,1,,,Drowning,"Body recovered on Las Salinas beach, Roquetas de Mar, Almería, Spain",IDEAL,"36.779379943873, -2.593665135165",Western Mediterranean,https://bit.ly/2Mo7KYO,Uncategorized,1
45924,US-Mexico Border,11-Sep-18,2018,Sep,1,,1,,,1,,Dehydration,"Open desert in Jacumba Wilderness Area near Ocotillo, Imperial County, California, USA","Imperial County Coroner's Office, US Border Patrol","32.657549291591, -116.023109372710",Central America to US,https://bit.ly/2xhMGyp,Northern America,5
45985,US-Mexico Border,11-Sep-18,2018,Sep,1,,1,,,1,,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.829413600000, -111.837116800000",Central America to US,http://www.humaneborders.info/,Northern America,5
45986,US-Mexico Border,11-Sep-18,2018,Sep,1,,1,,,1,,Uknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.386472500000, -112.872826200000",Central America to US,http://www.humaneborders.info/,Northern America,5
51318,North Africa,11-Sep-18,2018,Sep,2,,2,,1,1,,Excessive Physical Abuse,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),"19.635357000000, 27.103538000000",,http://www.mixedmigration.org/4mi/,Northern Africa,2
45913,Mediterranean,10-Sep-18,2018,Sep,6,,6,,3,3,1,Drowning,"Beach in Driouch province, near Nador, Morocco","Al Yaoum, Association Marocaine des Droits Humains - Section Nador","35.189678817192, -3.381137862305",Western Mediterranean,"https://bit.ly/2N7TjgZ, https://www.facebook.com/AmdhNador/posts/2183538558525074, https://www.facebook.com/AmdhNador/posts/2183505975194999",Uncategorized,4
45984,US-Mexico Border,10-Sep-18,2018,Sep,1,,1,,,1,,Hyperthermia,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.500087200000, -111.474716200000",Central America to US,http://www.humaneborders.info/,Northern America,5
